name,path,volume,date
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160104.jcsv,4657380,20160104
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160105.jcsv,8613330,20160105
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160825.jcsv,10786440,20160825
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160106.jcsv,6135780,20160106
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160719.jcsv,11542590,20160719
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160718.jcsv,14743920,20160718
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160823.jcsv,6520590,20160823
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160107.jcsv,14645580,20160107
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160713.jcsv,27614880,20160713
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160712.jcsv,17715450,20160712
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160711.jcsv,28500510,20160711
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160829.jcsv,18971100,20160829
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160715.jcsv,13274700,20160715
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160714.jcsv,19925820,20160714
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20161114.jcsv,13720950,20161114
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161214.jcsv,13623300,20161214
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160322.jcsv,8533950,20160322
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160323.jcsv,9416970,20160323
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160321.jcsv,11116770,20160321
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20161031.jcsv,9204360,20161031
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160324.jcsv,10282140,20160324
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160325.jcsv,4395030,20160325
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160328.jcsv,3849270,20160328
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160329.jcsv,5245260,20160329
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161130.jcsv,10693560,20161130
ag1706,/kywk/strategy/strange/future/ag/ag2016/ag1706/ag1706_20161118.jcsv,7740870,20161118
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160111.jcsv,8491080,20160111
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160401.jcsv,5894340,20160401
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160112.jcsv,7390920,20160112
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160115.jcsv,6247530,20160115
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160406.jcsv,3268710,20160406
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160405.jcsv,3088350,20160405
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160824.jcsv,5954010,20160824
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160119.jcsv,4435980,20160119
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160118.jcsv,8018430,20160118
ag1606,/kywk/strategy/strange/future/ag/ag2016/ag1606/ag1606_20160408.jcsv,4251840,20160408
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20161012.jcsv,7522440,20161012
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160524.jcsv,6405930,20160524
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160525.jcsv,7038750,20160525
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160526.jcsv,6269370,20160526
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160527.jcsv,7878660,20160527
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160520.jcsv,8386380,20160520
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20161011.jcsv,8520090,20161011
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160728.jcsv,18992610,20160728
ag1608,/kywk/strategy/strange/future/ag/ag2016/ag1608/ag1608_20160523.jcsv,190200,20160523
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160726.jcsv,11944470,20160726
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160727.jcsv,7649250,20160727
ag1705,/kywk/strategy/strange/future/ag/ag2016/ag1705/ag1705_20160913.jcsv,74576850,20160913
ag1612,/kywk/strategy/strange/future/ag/ag2016/ag1612/ag1612_20160725.jcsv,10856250,20160725
